feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
wears a blue uniform,1,2,1,-2,3,3,1,2,2,-3,1,0,0.9166666666666666,1.8319554050414562
wears a cap,-2,0,0,-3,0,-3,-2,0,-2,-3,1,0,-1.1666666666666667,1.4668044012461756
wears a cook's cap,1,2,0,-2,3,3,2,3,2,2,2,0,1.5,1.5075567228888183
wears a fluorescent suit,-2,1,0,-3,0,3,-1,1,1,2,1,0,0.25,1.6583123951777
wears a head,-3,1,0,-3,-2,-3,-2,2,-2,-3,0,0,-1.25,1.764549903980152
wears a helmet,1,2,0,-2,0,2,1,2,3,-3,0,0,0.5,1.7320508075688772
wears a kepi,0,1,1,-3,3,3,1,2,0,-2,2,0,0.6666666666666666,1.8257418583505536
wears a suit (kostuum),0,1,0,-3,-2,1,2,1,-2,-1,1,0,-0.16666666666666666,1.5275252316519465
wears a suit (pak),1,1,1,1,0,1,2,1,-2,-1,0,0,0.4166666666666667,1.0836246694508316
wears a tissue to cover the mouth,-1,2,0,-3,1,3,-3,3,3,-3,1,0,0.25,2.3403573930647275
wears a toga,2,2,0,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.729862492345632
wears a uniform,2,1,0,1,1,1,1,0,1,1,1,0,0.8333333333333334,0.5773502691896257
wears a white coat,-1,1,1,-2,2,2,1,2,1,-3,1,0,0.4166666666666667,1.6213537179739277
wears an apron,0,0,1,-2,2,-1,1,1,-1,0,1,0,0.16666666666666666,1.1146408580454255
wears an orange suit,1,1,0,-3,2,3,-3,3,1,-1,1,0,0.4166666666666667,1.97522534195852
wears boots,-3,1,0,-3,-1,-2,-2,-3,-2,2,1,0,-1.0,1.7580981459830651
wears excessive make-up,-2,0,0,-2,-3,-2,-2,0,-2,-2,0,0,-1.25,1.1381803659589922
wears glasses,-3,0,0,-3,-3,-2,-3,-3,-3,-3,0,0,-1.9166666666666667,1.4433756729740643
wears gloves,0,1,1,-3,1,-1,-2,1,0,2,1,0,0.08333333333333333,1.4433756729740643
wears high-heeled shoes,-3,-3,0,-3,-2,-3,-3,0,-2,-2,0,0,-1.75,1.3568010505999362
wears overalls,-1,1,0,-1,0,1,1,1,1,-1,1,0,0.25,0.8660254037844386
wears special clothing,2,1,0,1,1,-3,1,1,1,1,0,1,0.5833333333333334,1.2401124093721456
