feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
kindjes knutselen ermee,-2,-1,-1,0,-1,-1,-3,-3,-3,0,2,-2,-1.25,1.4847711791873706
kindjes kwamen vroeger uit een bloemkool,-3,1,2,2,-2,0,-3,1,-3,-3,3,-3,-0.6666666666666666,2.3868325657594203
kippenvoer,-1,2,0,0,-1,-1,-3,1,-3,1,2,-3,-0.5,1.834021909257456
klaargemaakt met room,1,2,-3,1,1,1,-3,-3,-3,-3,0,2,-0.5833333333333334,2.1933093855190746
klaarmaken met saus,3,2,-2,-1,2,1,-3,-3,-3,1,-2,2,-0.25,2.3011854652449344
kleine bolletjes,-3,1,1,1,0,1,-3,-3,-3,-3,-1,1,-0.9166666666666666,1.928651593652148
kleine kool,-2,0,2,1,1,1,-3,3,-3,0,-1,1,0.0,1.9069251784911847
kleine stukjes,1,2,-1,2,1,1,-3,-3,-3,-3,-2,2,-0.5,2.195035721390843
knapperig,1,2,-1,1,0,1,-3,-2,-3,-3,1,1,-0.4166666666666667,1.880924981991251
knol,0,-1,2,1,2,1,1,1,-3,0,0,2,0.5,1.4459976109624424
komt oorspronkelijk van Amerika,-2,-1,1,-2,-3,0,-3,-3,-3,-3,0,-2,-1.75,1.4222261679238197
komt uit bokalen,1,1,-3,1,1,-1,-3,-3,-3,-3,-2,1,-1.0833333333333333,1.928651593652148
komt uit de grond,-2,2,1,1,2,1,2,1,-3,-3,1,2,0.4166666666666667,1.9286515936521478
krimpen bij het koken,2,1,0,1,3,3,-3,1,-3,1,1,2,0.75,1.9598237397554634
krom,-2,1,0,1,-1,-2,0,-3,-3,0,0,1,-0.6666666666666666,1.497472618255253
kunnen geplant worden,0,2,0,2,3,3,1,1,-1,3,1,3,1.5,1.381698559415515
landbouw,1,2,2,3,3,2,2,1,2,3,2,2,2.0833333333333335,0.6685579234215215
lang houdbaar,3,1,0,-1,2,0,-3,-3,-1,0,-2,0,-0.3333333333333333,1.8257418583505538
leidt tot slechte adem,3,-2,-1,1,-2,1,-3,2,-3,-3,-2,-2,-0.9166666666666666,2.108783937953269
lekker,3,2,-2,2,3,3,-3,-3,-3,3,0,2,0.5833333333333334,2.609713789020945
lekker koud,1,1,0,0,-1,3,-3,-3,-3,-3,0,0,-0.6666666666666666,1.9694638556693236
lekker met mayonaise,-2,2,-2,1,0,2,-3,-3,-3,3,0,3,-0.16666666666666666,2.367712103711219
lekker met vlees,2,3,-1,2,2,3,-3,-2,-3,3,2,-3,0.4166666666666667,2.5746432527221863
lente,1,3,0,2,0,1,1,-3,-3,-3,2,3,0.3333333333333333,2.229281716090851
ligt zwaar op de maag,2,-2,-1,-1,-2,-2,-3,-3,-3,-3,2,-2,-1.5,1.7837651700316894
lijkt op ajuin,0,-1,0,1,1,1,-3,1,-3,-3,-1,0,-0.5833333333333334,1.6213537179739277
lijkt op asperges,-2,-1,0,2,1,1,-3,-1,-3,-3,-2,1,-0.8333333333333334,1.80067327475704
lijkt op een komkommer,-3,0,0,1,1,1,-3,3,-3,-3,-2,1,-0.5833333333333334,2.108783937953269
lookboter,2,-1,-2,1,-2,-2,-3,2,-3,-3,-2,-2,-1.25,1.864744681524183
maak je klaar met appeltjes,-2,-1,-3,-1,0,2,-3,2,-3,0,-2,-2,-1.0833333333333333,1.781640374554423
maakt men suiker van,-2,-1,3,1,-1,-1,-3,2,-3,-3,-1,-1,-0.8333333333333334,1.9462473604038075
mals om te eten,1,1,-1,1,2,1,1,-3,-3,-3,0,2,-0.08333333333333333,1.9286515936521478
met aarde,-2,1,2,-1,0,1,-3,1,-3,-3,3,0,-0.3333333333333333,2.059714602177749
met een broodje americain,-2,0,-3,1,1,-1,-3,3,-3,1,1,-3,-0.6666666666666666,2.1033883198882757
met groene kop,-3,1,1,1,1,1,-3,-3,-3,-3,-1,2,-0.75,2.0943647333651407
moet geschild worden,-1,3,2,2,3,1,-3,2,-3,-3,-1,2,0.3333333333333333,2.3868325657594203
niet geliefd bij kinderen,-2,2,-1,2,-1,-3,3,1,-3,0,-2,2,-0.16666666666666666,2.124888588879783
noemt ook eierplant,0,-1,3,1,0,0,-3,1,-3,-3,-2,-2,-0.75,1.9128750375000738
om te eten,2,3,2,3,3,3,2,1,3,3,2,3,2.5,0.674199862463242
past bij worst,1,2,-2,2,1,3,-3,-1,-3,-3,1,-3,-0.4166666666666667,2.314316444667973
peervormig,-3,0,2,1,0,-1,-3,-3,-3,0,0,-1,-0.9166666666666666,1.729862492345632
persen in lookpers,1,-1,-2,1,1,1,-3,2,-3,-3,-1,-1,-0.6666666666666666,1.8257418583505538
pikt in de ogen,1,-2,0,2,0,1,-3,1,-3,-3,-1,-2,-0.75,1.815338686155987
plant,1,1,2,1,2,1,1,0,-3,3,2,3,1.1666666666666667,1.5859229221975182
popcorn van maken,-2,-1,-2,1,1,-2,-3,3,-3,-3,-3,-2,-1.3333333333333333,1.9694638556693236
potentieverhogend,2,-1,2,0,2,1,-3,1,-3,-3,1,-3,-0.3333333333333333,2.1461734799546393
rare vorm,1,-1,-1,1,0,1,-3,-3,-3,-3,0,0,-0.9166666666666666,1.6764862244009227
ruikt lekker,2,1,1,-1,3,1,-3,-2,-3,-3,0,2,-0.16666666666666666,2.167249338901663
ruikt niet lekker,2,-1,-1,-2,-3,1,-3,-3,-3,-3,0,0,-1.3333333333333333,1.775250729197189
ruikt speciaal,1,-1,0,0,0,1,-3,-3,-3,1,0,0,-0.5833333333333334,1.5642792899510296
ruikt sterk,2,-1,3,1,0,2,-3,-3,-3,-3,0,-1,-0.5,2.195035721390843
ruikt zoet,-1,2,2,-1,1,0,0,1,-3,-3,2,-1,-0.08333333333333333,1.7816403745544227
ruw oppervlak,1,1,2,0,0,1,-3,-3,-3,-3,0,1,-0.5,1.9306145983268455
scherpe smaak,3,-2,3,1,0,1,-3,-3,-3,-3,0,0,-0.5,2.2763607319179844
smaakt flauw,2,2,0,-1,0,1,-3,-3,-3,-3,0,-2,-0.8333333333333334,1.9462473604038073
smaakt fris,2,3,-1,2,1,3,0,-3,1,-3,-2,2,0.4166666666666667,2.1933093855190746
smaakt lekker bij kaas,1,1,-2,1,1,2,-3,-3,-3,1,1,-2,-0.4166666666666667,1.9752253419585197
smaakt lekker met zout,1,1,-2,1,-1,0,-3,1,-3,0,-1,2,-0.3333333333333333,1.6696942198734437
smaakt straf,2,1,1,1,0,1,-3,-3,-3,-3,0,-1,-0.5833333333333334,1.928651593652148
smaakt zacht,1,2,0,-1,3,1,-3,-3,-3,-3,0,2,-0.3333333333333333,2.229281716090851
smaakt zoet,2,1,1,1,0,0,-3,-1,-3,-3,0,-2,-0.5833333333333334,1.7816403745544227
smaakt zuur,1,-2,0,-1,0,1,-3,-2,-3,-3,0,0,-1.0,1.5374122295716148
stam,-2,0,1,-1,-2,-2,-3,-3,-3,-3,-1,0,-1.5833333333333333,1.378954368902449
struik,-2,-1,2,0,2,1,0,-3,-3,0,2,2,0.0,1.9069251784911847
suiker toevoegen,-1,-1,-2,0,-1,0,-3,-3,-3,-3,0,-1,-1.5,1.243163121016122
te koop,2,3,-1,3,3,3,0,-3,-3,0,3,3,1.0833333333333333,2.391588796113782
uitdrukking,-3,1,0,-1,0,-3,-3,-3,-3,-3,1,-3,-1.6666666666666667,1.7232808737106584
vaak in blik verkocht,3,1,-3,2,3,3,2,1,-3,3,2,2,1.3333333333333333,2.1461734799546393
vaak op pizza's,3,3,0,2,2,1,-3,2,-3,1,2,2,1.0,2.04494943258218
vaak samen met kaassaus,-2,1,-1,0,-1,2,-3,-1,-3,0,1,-1,-0.6666666666666666,1.556997888323046
vanbuiten donker roze,1,-1,1,-2,-1,1,-3,-3,-3,-3,0,-2,-1.25,1.6583123951777
veel gebruikt ingrediënt,2,3,-3,2,3,1,2,1,-3,3,3,2,1.3333333333333333,2.1461734799546393
veel kleurstof,1,-1,-1,-1,-3,0,-3,1,-3,-3,-2,-3,-1.5,1.5666989036012806
veel kuiswerk,2,1,1,0,1,3,-3,-1,-3,-3,2,-2,-0.16666666666666666,2.167249338901663
veel mensen lusten dit niet,2,-2,0,-2,-2,-2,2,-2,-3,-3,-3,-2,-1.4166666666666667,1.7816403745544227
veevoeder,-2,2,0,0,0,0,-3,1,-3,1,2,-1,-0.25,1.712255291076124
vers,2,3,-1,2,3,3,1,-3,-3,3,2,3,1.25,2.3011854652449344
verschillende teentjes,1,1,1,1,1,1,-3,1,-3,1,-1,2,0.25,1.6583123951777
vezelig,1,2,2,2,3,1,1,1,-3,-3,0,-2,0.4166666666666667,2.0207259421636903
vies,2,-3,-3,-2,-3,-3,1,-3,-3,-3,0,-2,-1.8333333333333333,1.80067327475704
voor paard Sinterklaas,-3,1,-3,2,-2,1,0,2,-3,-3,-2,-2,-1.0,2.04494943258218
voortplantingsfunctie,0,0,2,0,-3,-2,0,1,-3,-3,2,2,-0.3333333333333333,1.9694638556693236
vormt de basis voor heel wat sauzen,1,2,0,0,3,2,-3,-3,-3,1,3,2,0.4166666666666667,2.274696116900546
vruchtvlees,1,2,1,1,-1,0,0,2,1,0,1,-2,0.5,1.1677484162422844
weegt zwaar,1,-1,0,-1,1,-2,-3,-3,-3,-3,0,-2,-1.3333333333333333,1.5569978883230458
